iter	Passed	Remaining
0	3	341
1	5	245
2	6	207
3	7	172
4	8	164
5	9	149
6	10	137
7	11	127
8	11	120
9	12	113
10	13	107
11	14	102
12	14	98
13	15	95
14	16	91
15	16	88
16	17	85
17	18	82
18	18	80
19	19	78
20	20	76
21	20	74
22	21	72
23	22	70
24	23	69
25	23	67
26	24	66
27	24	64
28	25	62
29	26	61
30	26	60
31	27	58
32	28	57
33	29	56
34	29	55
35	30	53
36	31	52
37	31	51
38	32	50
39	33	49
40	33	48
41	33	46
42	34	45
43	35	44
44	35	43
45	36	43
46	37	42
47	37	41
48	38	40
49	39	39
50	39	38
51	40	37
52	41	36
53	41	35
54	42	34
55	42	33
56	43	32
57	44	31
58	44	31
59	45	30
60	46	29
61	46	28
62	47	27
63	48	27
64	48	26
65	49	25
66	50	24
67	50	23
68	51	23
69	52	22
70	52	21
71	53	20
72	54	20
73	54	19
74	55	18
75	55	17
76	56	16
77	57	16
78	57	15
79	58	14
80	59	13
81	59	13
82	60	12
83	61	11
84	61	10
85	62	10
86	62	9
87	63	8
88	64	7
89	64	7
90	65	6
91	66	5
92	66	5
93	67	4
94	68	3
95	68	2
96	69	2
97	69	1
98	70	0
99	71	0
