iter	Passed	Remaining
0	213	213745
1	215	107299
2	215	71722
3	216	53959
4	218	43407
5	218	36267
6	219	31192
7	220	27356
8	221	24363
9	221	21973
10	222	20014
11	223	18383
12	223	17000
13	224	15820
14	225	14792
15	226	13911
16	226	13119
17	227	12426
18	228	11809
19	229	11242
20	230	10740
21	231	10276
22	232	9861
23	232	9470
24	233	9111
25	234	8784
26	235	8485
27	236	8203
28	237	7936
29	237	7687
30	238	7461
31	239	7240
32	240	7033
33	240	6838
34	241	6657
35	242	6492
36	243	6330
37	244	6190
38	245	6044
39	245	5903
40	246	5769
41	247	5640
42	248	5522
43	248	5403
44	249	5291
45	249	5184
46	250	5080
47	251	4982
48	251	4889
49	252	4801
50	253	4719
51	254	4635
52	255	4564
53	256	4492
54	258	4438
55	259	4378
56	260	4311
57	261	4244
58	262	4185
59	263	4125
60	264	4065
61	264	4007
62	265	3950
63	266	3894
64	267	3841
65	268	3800
66	269	3751
67	270	3705
68	271	3661
69	272	3617
70	273	3572
71	274	3537
72	275	3495
73	276	3464
74	278	3429
75	279	3392
76	280	3358
77	281	3326
78	282	3295
79	283	3260
80	284	3226
81	285	3192
82	285	3154
83	286	3123
84	287	3099
85	290	3088
86	291	3060
87	292	3031
88	293	3002
89	294	2977
90	295	2949
91	296	2921
92	296	2896
93	298	2872
94	301	2875
95	303	2856
96	304	2837
97	305	2812
98	306	2786
99	306	2761
100	307	2738
101	308	2714
102	309	2695
103	310	2673
104	311	2658
105	313	2646
106	315	2635
107	316	2614
108	317	2599
109	319	2586
110	320	2569
111	321	2551
112	322	2533
113	324	2521
114	325	2505
115	327	2493
116	329	2483
117	330	2469
118	332	2458
119	333	2444
120	334	2429
121	335	2413
122	338	2412
123	339	2396
124	340	2382
125	342	2373
126	344	2365
127	344	2349
128	345	2335
129	347	2326
130	348	2310
131	349	2295
132	349	2279
133	350	2265
134	351	2253
135	352	2240
136	353	2228
137	358	2238
138	359	2228
139	361	2219
140	362	2205
141	362	2190
142	363	2176
143	363	2163
144	364	2149
145	365	2135
146	365	2122
147	367	2114
148	368	2103
149	369	2091
150	372	2097
151	373	2085
152	374	2073
153	375	2060
154	375	2048
155	377	2043
156	379	2036
157	379	2025
158	381	2018
159	382	2009
160	383	1999
161	385	1994
162	387	1989
163	388	1979
164	389	1969
165	389	1958
166	390	1947
167	391	1937
168	391	1926
169	392	1916
170	393	1905
171	393	1895
172	394	1884
173	394	1874
174	395	1865
175	396	1856
176	397	1849
177	398	1840
178	399	1834
179	401	1828
180	402	1820
181	402	1811
182	403	1801
183	404	1792
184	404	1783
185	405	1774
186	406	1766
187	407	1758
188	407	1749
189	408	1740
190	408	1732
191	409	1723
192	410	1716
193	411	1709
194	413	1706
195	415	1702
196	417	1700
197	418	1693
198	418	1685
199	419	1677
200	420	1670
201	420	1662
202	421	1654
203	422	1647
204	422	1640
205	423	1632
206	424	1625
207	425	1619
208	426	1613
209	428	1611
